model,prompt_id,prompt_category,latency_sec,cost_usd,prompt_tokens,completion_tokens,total_tokens,answer,usable
meta-llama/llama-3.3-70b-instruct,summarize,Summarize a paragraph,3.807,3.172e-05,122,61,183,"A retrieval-augmented generation system uses a language model and also searches for relevant information in a separate database to help it generate more accurate responses. This approach helps the system provide more reliable and up-to-date information, rather than relying on what it learned during training, which may be outdated or incorrect.",y
meta-llama/llama-3.3-70b-instruct,code_gen,Write a small function,5.93,0.000240516,75,97,172,"```python \n def dedupe_preserve_order(input_list): \n     seen = set() \n     return [x for x in input_list if not (x in seen or seen.add(x))] \n  \n # Example usage: \n def main(): \n     my_list = [1, 2, 3, 2, 4, 5, 5, 6] \n     print(dedupe_preserve_order(my_list)) \n  \n if __name__ == ""__main__"": \n     main() \n ```",y
meta-llama/llama-3.3-70b-instruct,extraction,Extract structured data,3.965,1.754e-05,73,32,105,"{""name"": ""Priya Nair"", ""email"": ""priya.nair@example.com"", ""requested_date"": ""Thursday, 14th""}",y
meta-llama/llama-3.3-70b-instruct,reasoning,Multi-step reasoning,10.546,4.302e-05,59,116,175,"The store started with 84 items. On Monday, they sold 1/4 of the stock, which is 84 * 1/4 = 21 items. So, 84 - 21 = 63 items remained. \n  \n On Tuesday, they sold half of what remained, which is 63 * 1/2 = 31.5 items. Since you can't sell half an item, we'll assume they sold 31 items (you can't sell a fraction of an item). So, 63 - 31 = 32 items. \n  \n 32",y
meta-llama/llama-3.3-70b-instruct,email_draft,Draft a professional email,8.027,2.22e-05,46,55,101,"Subject: Meeting Reschedule Request \n  \n Dear [Vendor], \n  \n Unfortunately, my schedule is fully booked this week. Would it be possible to reschedule our meeting for next week? I look forward to hearing from you to arrange an alternate time. \n  \n Best regards, \n [Your Name]",y
qwen/qwen3-coder,summarize,Summarize a paragraph,10.757,0.00011274,120,67,187,"Retrieval-augmented generation (RAG) is a method that helps AI systems answer questions more accurately by first searching for relevant information from external sources, then using that information to generate responses. This approach prevents the AI from making up facts or giving outdated information since it relies on current, verified text from the search results.",y
qwen/qwen3-coder,code_gen,Write a small function,0.988,6.34e-05,48,49,97,```python \n def dedupe_preserve_order(lst): \n     seen = set() \n     result = [] \n     for item in lst: \n         if item not in seen: \n             seen.add(item) \n             result.append(item) \n     return result \n ```,y
qwen/qwen3-coder,extraction,Extract structured data,1.35,8.37e-05,72,39,111,"{ \n   ""name"": ""Priya Nair"", \n   ""email"": ""priya.nair@example.com"", \n   ""requested_date"": ""next Thursday the 14th"" \n }",y
qwen/qwen3-coder,reasoning,Multi-step reasoning,1.946,0.0001364,58,119,177,"Starting stock: 84 items \n  \n Monday sales: 1/4 of 84 = 84 ÷ 4 = 21 items sold \n Remaining after Monday: 84 - 21 = 63 items \n  \n Tuesday sales: 1/2 of remaining 63 items = 63 ÷ 2 = 31.5 items sold \n Since we can't sell half an item, this means 31 items were sold. \n Remaining after Tuesday: 63 - 31 = 32 items \n  \n 32",y
qwen/qwen3-coder,email_draft,Draft a professional email,2.373,0.0001683,45,88,133,"Subject: Rescheduling Meeting Request \n  \n Dear [Vendor Name], \n  \n Thank you for your meeting request. I'm currently fully booked this week and unable to accommodate a meeting. \n  \n Would it be possible to reschedule for next week? I'm available [suggest specific days/times] and would be happy to work around your schedule. \n  \n Please let me know your availability, and I'll send over a calendar invitation. \n  \n Best regards, \n [Your Name]",y
anthropic/claude-haiku-4.5,summarize,Summarize a paragraph,1.997,0.000449,129,64,193,"RAG is a technique that improves how AI answers questions by first searching a database for relevant information, then using that information to generate a response. This approach makes the AI's answers more accurate and trustworthy because they're based on real documents rather than just what the AI memorized during training.",y
